Classes,270492004,164889003,164890007,426627000,713427006,713426002,445118002,39732003,164909002,251146004,698252002,10370003,284470004,427172004,164947007,111975006,164917005,47665007,427393009,426177001,426783006,427084000,164934002,59931005
AUROC,0.679,0.764,0.761,0.799,0.722,0.688,0.879,0.840,0.950,0.875,0.693,0.948,0.671,0.756,0.793,0.664,0.676,0.804,0.671,0.695,0.710,0.657,0.645,0.690
AUPRC,0.108,0.242,0.026,0.032,0.218,0.079,0.331,0.492,0.545,0.142,0.058,0.301,0.086,0.041,0.034,0.073,0.051,0.058,0.066,0.121,0.678,0.102,0.169,0.056
F-measure,0.000,0.000,0.000,0.000,0.000,0.000,0.065,0.255,0.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.628,0.000,0.000,0.000
